time,Volt,Volt2,Cai,CaSR,Nai,Ki,M,H,J,Xr1,Xr2,Xs,S,R,D,F,FCa,G,Itot
385,-85.8893,-86.2,0.000102841,0.583704,11.5877,138.291,0.03,0.977739,0.749827,0.0932014,0.478046,0.00308756,0.999997,2.17478e-08,2.07069e-05,0.832354,1.00437,0.999331,0.0113733
390,-85.6726,-86.2,0.000101237,0.583913,11.588,138.291,0.04,0.977408,0.765791,0.0833966,0.475707,0.00312876,0.999997,2.22023e-08,2.13158e-05,0.842505,1.00445,0.999392,-0.00339369
395,-85.8286,-86.2,9.97265e-05,0.584098,11.5882,138.291,0.01,0.977155,0.780623,0.0746755,0.476791,0.00312596,0.999998,2.23497e-08,2.09553e-05,0.852042,1.00454,0.999445,0.0719249
400,-86.0464,-86.2,9.82954e-05,0.58426,11.5884,138.291,0.01,0.977763,0.794842,0.0666496,0.479451,0.00306735,0.999998,2.15956e-08,2.03005e-05,0.861001,1.00461,0.999492,0.0237529
405,-85.7915,-86.2,9.69462e-05,0.5844,11.5886,138.291,0.04,0.977885,0.808055,0.0595174,0.477273,0.00309105,0.999998,2.16608e-08,2.09391e-05,0.869417,1.00469,0.999533,-0.0296815
410,-85.9614,-86.2,9.56738e-05,0.584519,11.5888,138.291,0.01,0.977878,0.820324,0.0531834,0.478416,0.00308565,0.999998,2.1687e-08,2.0557e-05,0.877324,1.00475,0.999569,0.0469726
415,-86.042,-86.2,9.4469e-05,0.58462,11.589,138.291,0.03,0.978193,0.831911,0.0474542,0.479489,0.00306112,0.999998,2.13593e-08,2.02989e-05,0.884751,1.00482,0.999601,-0.0185076
420,-86.1054,-86.2,9.33285e-05,0.584703,11.5891,138.291,0.02,0.978568,0.842805,0.0423005,0.480248,0.00304227,0.999998,2.1043e-08,2.01175e-05,0.891729,1.00488,0.99963,0.00266983
425,-86.0273,-86.2,9.22506e-05,0.584768,11.5893,138.291,0.03,0.978697,0.852946,0.0377145,0.479585,0.00304934,0.999998,2.10385e-08,2.03091e-05,0.898283,1.00493,0.999655,-0.0134854
430,-85.5249,-86.2,9.12342e-05,0.584818,11.5896,138.291,0.08,0.978371,0.862275,0.0336843,0.47673,0.0030904,0.999998,2.15017e-08,2.12221e-05,0.904441,1.00498,0.999678,-0.831891
435,-84.16,-86.2,9.03089e-05,0.584851,11.5901,138.291,0.04,0.973992,0.869667,0.0306036,0.458677,0.0034668,0.999998,2.69153e-08,2.63588e-05,0.910223,1.00503,0.999698,0.24909
440,-85.064,-86.2,8.94226e-05,0.584872,11.5902,138.291,0.05,0.973038,0.876984,0.0276815,0.469042,0.00332772,0.999998,2.61598e-08,2.31292e-05,0.915656,1.00508,0.999715,-0.00829
445,-85.333,-86.2,8.85726e-05,0.58488,11.5905,138.291,0.04,0.97368,0.88419,0.0249224,0.471901,0.00323934,0.999998,2.47272e-08,2.2319e-05,0.92076,1.00512,0.999731,-0.0573659
450,-85.4815,-86.2,8.77619e-05,0.584876,11.5907,138.291,0.05,0.974687,0.891108,0.0223812,0.474046,0.0031816,0.999998,2.3625e-08,2.17886e-05,0.925556,1.00516,0.999746,-0.0866858
455,-84.9468,-86.2,8.70011e-05,0.58486,11.591,138.291,0.04,0.97413,0.897342,0.0201797,0.468161,0.0032807,0.999998,2.46474e-08,2.35074e-05,0.93006,1.0052,0.999759,0.128575
460,-85.6446,-86.2,8.62735e-05,0.584833,11.5911,138.291,0.03,0.974824,0.903372,0.0181384,0.475145,0.00317885,0.999998,2.3639e-08,2.14132e-05,0.934292,1.00523,0.999771,0.0749029
465,-85.9828,-86.2,8.55736e-05,0.584797,11.5912,138.291,0.03,0.976328,0.909276,0.0162253,0.478769,0.00308919,0.999998,2.21999e-08,2.0464e-05,0.938268,1.00527,0.999782,0.00220623
470,-85.7891,-86.2,8.49069e-05,0.584751,11.5914,138.291,0.03,0.977327,0.914857,0.0144953,0.477652,0.00307979,0.999998,2.16468e-08,2.09097e-05,0.942003,1.0053,0.999792,0.0456782
475,-85.8816,-86.2,8.42763e-05,0.584695,11.5916,138.291,0.03,0.977593,0.920006,0.0129678,0.47794,0.00308857,0.999998,2.1704e-08,2.07192e-05,0.945512,1.00533,0.999802,0.0260308
480,-85.7564,-86.2,8.36793e-05,0.584631,11.5918,138.291,0.03,0.977479,0.924769,0.0116148,0.476457,0.0031146,0.999998,2.20166e-08,2.11185e-05,0.948808,1.00536,0.99981,0.053547
485,-85.9906,-86.2,8.31098e-05,0.584559,11.5919,138.291,0.02,0.977785,0.929276,0.0103904,0.478842,0.00307777,0.999998,2.1656e-08,2.04638e-05,0.951904,1.00539,0.999818,0.0415598
490,-86.1137,-86.2,8.25655e-05,0.584479,11.592,138.291,0.02,0.978323,0.933552,0.00928017,0.480245,0.00304563,0.999998,2.11607e-08,2.01071e-05,0.954813,1.00541,0.999825,0.0130586
495,-86.1042,-86.2,8.20478e-05,0.584392,11.5921,138.291,0.02,0.978615,0.937545,0.00828901,0.480135,0.00304361,0.999998,2.10161e-08,2.01357e-05,0.957546,1.00544,0.999832,0.0159527
500,-85.9996,-86.2,8.15552e-05,0.584297,11.5923,138.291,0.04,0.978807,0.941278,0.00740377,0.479736,0.00304287,0.999998,2.09395e-08,2.03148e-05,0.960114,1.00546,0.999838,-0.0760495
